record_id,company_name,industry,country,company_size,month,year,layoffs_count,layoff_percentage,reason_for_layoffs
T34,Amazon,Social Media,India,Big Tech,Oct,2026,1214,4.8,AI Automation
T35,Databricks,AI,Germany,Enterprise,Nov,2026,5751,2.3,Market Slowdown
T36,Airbnb,FinTech,Germany,Mid-size,Aug,2025,1667,18.7,AI Automation
T37,Google,E-Commerce,Canada,Startup,Sep,2025,924,1.3,Cost Cutting
T38,Intel,AI,India,Enterprise,Aug,2026,323,17.7,Market Slowdown
T39,Databricks,Gaming,Singapore,Startup,Nov,2024,10860,39.9,Cost Cutting
T40,Spotify,AI,USA,Mid-size,Oct,2024,2181,7.1,Market Slowdown
T41,Uber,Social Media,Singapore,Enterprise,May,2024,12470,33.1,AI Automation
T42,Oracle,Gaming,UK,Startup,Mar,2026,1358,4.0,Market Slowdown
T43,Netflix,Social Media,Germany,Big Tech,Feb,2024,13015,18.9,Cost Cutting
T44,Palantir,AI,UK,Mid-size,Jan,2025,3222,1.7,Market Slowdown
T45,Meta,FinTech,India,Mid-size,Jun,2026,6240,30.0,Restructuring
T46,Databricks,Social Media,India,Mid-size,Jul,2024,2125,4.6,Cost Cutting
T47,Salesforce,Gaming,Germany,Mid-size,Dec,2024,5850,7.4,Restructuring
T48,Meta,Gaming,Germany,Mid-size,Jun,2025,2081,5.6,Cost Cutting
T49,Airbnb,AI,Singapore,Mid-size,May,2024,1833,7.2,Market Slowdown
T50,Intel,Social Media,Canada,Big Tech,Jan,2024,9837,39.2,Market Slowdown
T51,Netflix,Cybersecurity,UK,Startup,Jun,2026,112,5.3,Market Slowdown
T52,Oracle,Cybersecurity,Canada,Startup,May,2024,2160,12.6,Restructuring
T53,Google,Cybersecurity,Canada,Mid-size,Feb,2026,475,17.8,Market Slowdown
T54,Databricks,FinTech,Singapore,Startup,Sep,2025,1077,24.7,Restructuring
T55,Salesforce,E-Commerce,Singapore,Enterprise,Apr,2025,12246,20.3,Restructuring
T56,Netflix,Cybersecurity,Canada,Enterprise,May,2025,519,18.0,Cost Cutting
T57,Oracle,Gaming,Canada,Enterprise,Aug,2026,6459,11.3,Cost Cutting
T58,Anthropic,E-Commerce,Singapore,Mid-size,May,2026,15153,19.0,Overhiring Correction
T59,Salesforce,AI,India,Enterprise,Mar,2024,1347,7.9,AI Automation
T60,Airbnb,E-Commerce,Canada,Startup,Nov,2026,1305,15.2,Cost Cutting
T61,NVIDIA,E-Commerce,Germany,Mid-size,Feb,2025,385,4.7,Cost Cutting
T62,Netflix,Gaming,Singapore,Big Tech,Feb,2025,661,2.2,Cost Cutting
T63,SAP,Social Media,Canada,Enterprise,Sep,2025,1051,16.3,Cost Cutting
T64,OpenAI,E-Commerce,UK,Mid-size,Sep,2025,13342,38.3,Cost Cutting
T65,Spotify,E-Commerce,USA,Enterprise,Jun,2025,1790,0.2,Overhiring Correction
T66,Amazon,Cloud,India,Mid-size,Dec,2024,6712,7.9,AI Automation
T67,Oracle,E-Commerce,UK,Big Tech,Apr,2025,1509,7.2,Restructuring
T68,Stripe,Social Media,USA,Big Tech,Jun,2025,4323,4.1,Restructuring
T69,Oracle,Cybersecurity,Singapore,Mid-size,May,2025,174,15.0,Restructuring
T70,Google,E-Commerce,UK,Big Tech,Aug,2024,5263,16.0,Overhiring Correction
T71,Palantir,AI,Germany,Startup,Mar,2025,793,0.7,Cost Cutting
T72,Meta,FinTech,Germany,Enterprise,Jun,2025,1762,8.4,Restructuring
T73,Spotify,Gaming,Germany,Enterprise,Jan,2026,1252,0.0,Overhiring Correction
T74,Meta,FinTech,India,Startup,Jan,2024,6895,28.4,Cost Cutting
T75,Google,Cybersecurity,India,Mid-size,Nov,2024,1817,5.7,Overhiring Correction
T76,Uber,E-Commerce,Singapore,Enterprise,Oct,2026,714,1.6,AI Automation
T77,Netflix,FinTech,USA,Startup,Jul,2026,2869,9.8,Cost Cutting
T78,Amazon,Cybersecurity,Singapore,Mid-size,Nov,2026,957,0.9,AI Automation
T79,Stripe,Gaming,USA,Enterprise,Nov,2025,3033,17.5,AI Automation
T80,Anthropic,Social Media,UK,Startup,Feb,2025,5521,11.2,Market Slowdown
T81,SAP,Social Media,India,Big Tech,Oct,2026,2306,8.3,Restructuring
T82,SAP,E-Commerce,Singapore,Enterprise,Feb,2025,4169,11.6,Restructuring
T83,Airbnb,Gaming,Germany,Big Tech,Aug,2025,4235,16.8,Cost Cutting
T84,OpenAI,Cloud,UK,Enterprise,Oct,2026,3211,16.0,Market Slowdown
T85,Palantir,AI,Canada,Mid-size,Dec,2025,1704,3.3,Restructuring
T86,Palantir,Gaming,India,Big Tech,Aug,2024,4741,37.1,AI Automation
T87,Adobe,Cloud,Germany,Mid-size,Aug,2026,4870,3.2,Overhiring Correction
T88,Intel,E-Commerce,Singapore,Enterprise,May,2025,1140,14.1,Market Slowdown
T89,Airbnb,AI,Singapore,Mid-size,Dec,2026,1006,15.0,Cost Cutting
T90,Uber,Cloud,Singapore,Big Tech,Feb,2024,3255,12.1,Market Slowdown
T91,Airbnb,FinTech,India,Enterprise,May,2024,1980,2.0,AI Automation
T92,Palantir,FinTech,Singapore,Mid-size,Feb,2024,18343,17.4,Overhiring Correction
T93,Adobe,E-Commerce,Germany,Big Tech,Jan,2025,5209,6.5,Restructuring
T94,Microsoft,Gaming,USA,Big Tech,Oct,2026,4297,16.4,AI Automation
T95,Apple,Cloud,Canada,Enterprise,Feb,2026,2272,0.9,Restructuring
T96,Databricks,Cybersecurity,Canada,Mid-size,Aug,2025,7082,36.7,Market Slowdown
T97,Stripe,E-Commerce,UK,Startup,Apr,2026,1899,27.1,Cost Cutting
T98,Spotify,Social Media,USA,Mid-size,Sep,2024,684,1.8,Cost Cutting
T99,Google,E-Commerce,Germany,Big Tech,Apr,2025,6178,4.5,Market Slowdown
T100,SAP,AI,Singapore,Mid-size,Jul,2024,6663,1.5,Overhiring Correction
T101,Airbnb,Social Media,India,Enterprise,Jan,2024,477,1.8,Market Slowdown
T102,Databricks,Social Media,Canada,Enterprise,Aug,2026,3038,6.3,Market Slowdown
T103,NVIDIA,FinTech,Canada,Big Tech,Oct,2024,5997,12.4,Restructuring
T104,Salesforce,Cybersecurity,UK,Startup,Nov,2026,2203,8.6,Overhiring Correction
T105,Google,Gaming,Singapore,Enterprise,Mar,2025,10200,26.7,Overhiring Correction
T106,SAP,FinTech,India,Big Tech,Feb,2025,13115,12.0,Market Slowdown
T107,Oracle,FinTech,UK,Startup,Jul,2026,2358,9.8,Restructuring
T108,Adobe,Social Media,Germany,Startup,Jun,2025,1427,12.1,Market Slowdown
T109,Microsoft,Gaming,Germany,Startup,Jul,2024,2667,29.4,Cost Cutting
T110,Anthropic,FinTech,Canada,Big Tech,Jan,2024,13178,20.4,Market Slowdown
T111,Palantir,Cloud,UK,Big Tech,Feb,2024,11693,37.3,Overhiring Correction
T112,Airbnb,Social Media,India,Enterprise,Sep,2025,1406,21.8,AI Automation
T113,Airbnb,Gaming,USA,Big Tech,Aug,2026,1692,8.0,Market Slowdown
T114,Anthropic,Social Media,UK,Big Tech,Apr,2025,2459,14.5,Overhiring Correction
T115,Apple,E-Commerce,India,Mid-size,Jul,2025,520,6.5,Overhiring Correction
T116,Spotify,Gaming,USA,Enterprise,Oct,2026,4040,21.6,Restructuring
T117,Apple,E-Commerce,Canada,Big Tech,Sep,2026,6752,2.0,Restructuring
T118,SAP,FinTech,India,Mid-size,Apr,2025,11793,37.0,AI Automation
T119,Salesforce,Social Media,Germany,Big Tech,Aug,2024,3710,11.9,Cost Cutting
T120,Anthropic,Cybersecurity,UK,Startup,Sep,2025,761,10.6,AI Automation
T121,Apple,E-Commerce,Singapore,Mid-size,May,2025,236,1.2,Overhiring Correction
T122,NVIDIA,Social Media,USA,Enterprise,Jun,2026,10715,30.7,Restructuring
T123,Palantir,AI,Canada,Startup,Apr,2026,261,9.2,AI Automation
T124,Oracle,AI,Singapore,Startup,Dec,2025,5143,14.9,AI Automation
T125,Meta,FinTech,USA,Enterprise,Jul,2024,1233,16.3,Cost Cutting
T126,Anthropic,E-Commerce,Canada,Mid-size,Feb,2026,91,3.1,Restructuring
T127,Databricks,Social Media,India,Big Tech,Apr,2025,4850,32.1,Market Slowdown
T128,SAP,FinTech,Singapore,Startup,Nov,2026,2248,11.5,Cost Cutting
T129,Amazon,E-Commerce,UK,Enterprise,Dec,2025,7140,32.6,Restructuring
T130,Adobe,Cloud,Germany,Big Tech,Jul,2026,2385,0.6,Market Slowdown
T131,Stripe,FinTech,Singapore,Enterprise,May,2024,1768,6.1,Overhiring Correction
T132,Meta,Cybersecurity,Singapore,Big Tech,Oct,2025,2379,8.8,Cost Cutting
T133,Uber,Cybersecurity,UK,Mid-size,Nov,2026,4456,10.3,AI Automation
T134,Adobe,Gaming,Germany,Startup,Dec,2024,9964,29.1,AI Automation
T135,Adobe,FinTech,Singapore,Big Tech,Mar,2026,1613,0.7,Market Slowdown
T136,Anthropic,Cybersecurity,UK,Mid-size,May,2026,621,6.8,Market Slowdown
T137,Microsoft,E-Commerce,USA,Mid-size,Sep,2025,2169,8.2,AI Automation
T138,NVIDIA,AI,UK,Startup,Nov,2026,4430,5.6,Market Slowdown
T139,Stripe,E-Commerce,Singapore,Enterprise,Aug,2024,514,3.0,Overhiring Correction
T140,Palantir,FinTech,Canada,Mid-size,Nov,2025,11047,33.6,Market Slowdown
T141,Oracle,AI,India,Startup,Aug,2024,1997,2.0,AI Automation
T142,Airbnb,Cybersecurity,India,Big Tech,Nov,2026,1928,12.3,Overhiring Correction
T143,Oracle,Cybersecurity,Singapore,Mid-size,Aug,2026,3047,1.9,Restructuring
T144,Spotify,AI,Singapore,Enterprise,Aug,2024,2066,4.4,Market Slowdown
T145,Microsoft,Social Media,UK,Enterprise,May,2024,659,7.9,AI Automation
T146,SAP,AI,Singapore,Mid-size,Jan,2025,3757,24.6,Cost Cutting
T147,Apple,Gaming,Canada,Mid-size,Oct,2024,1009,9.1,Cost Cutting
T148,Salesforce,Gaming,India,Startup,Mar,2026,1343,5.7,Market Slowdown
T149,Netflix,AI,Singapore,Startup,Jun,2024,1464,3.5,Overhiring Correction
T150,Salesforce,AI,India,Enterprise,Dec,2025,2361,9.8,Overhiring Correction
T151,Microsoft,Social Media,USA,Big Tech,Sep,2026,697,10.5,AI Automation
T152,SAP,Cybersecurity,India,Startup,Aug,2026,14368,29.4,AI Automation
T153,Meta,E-Commerce,Germany,Big Tech,Aug,2026,19708,13.3,Restructuring
T154,Amazon,AI,UK,Mid-size,May,2026,2113,0.7,Overhiring Correction
T155,Palantir,Social Media,UK,Big Tech,Aug,2026,19939,33.4,Overhiring Correction
T156,Oracle,AI,Singapore,Startup,Jul,2025,1282,16.9,Cost Cutting
T157,Oracle,FinTech,Germany,Big Tech,Jun,2025,6126,9.6,Market Slowdown
T158,Spotify,FinTech,India,Big Tech,Feb,2024,2243,7.2,Restructuring
T159,Microsoft,Social Media,Singapore,Enterprise,Oct,2026,1249,8.2,Overhiring Correction
T160,Salesforce,Social Media,USA,Big Tech,Dec,2024,995,7.0,Market Slowdown
T161,Databricks,FinTech,UK,Startup,Mar,2026,4830,16.9,Restructuring
T162,Airbnb,Gaming,USA,Enterprise,Feb,2025,19171,29.3,Overhiring Correction
T163,Airbnb,Gaming,Germany,Startup,Jan,2024,9787,8.6,Market Slowdown
T164,Adobe,FinTech,UK,Startup,Oct,2026,1659,8.3,Restructuring
T165,Amazon,Cloud,Singapore,Startup,Jul,2025,2381,7.4,Restructuring
T166,Salesforce,Cloud,UK,Enterprise,Oct,2026,2492,24.7,AI Automation
T167,Meta,Cloud,India,Startup,May,2025,7581,21.9,Restructuring
T168,OpenAI,Cybersecurity,Germany,Big Tech,Sep,2024,6319,9.3,Market Slowdown
T169,Oracle,AI,UK,Big Tech,Jan,2024,14778,16.9,Restructuring
T170,Databricks,AI,USA,Mid-size,Mar,2025,5087,5.8,Market Slowdown
T171,Salesforce,AI,USA,Big Tech,Mar,2024,5492,29.6,Restructuring
T172,Palantir,Social Media,India,Enterprise,Dec,2024,2150,9.5,Restructuring
T173,Google,E-Commerce,USA,Enterprise,Oct,2025,2774,21.4,Restructuring
T174,Adobe,AI,Germany,Startup,Oct,2025,6956,11.4,Market Slowdown
T175,Amazon,E-Commerce,USA,Mid-size,Sep,2024,5576,3.1,Restructuring
T176,Adobe,Social Media,UK,Mid-size,Feb,2026,3535,14.6,AI Automation
T177,Anthropic,Cybersecurity,India,Enterprise,Apr,2024,3080,12.0,Cost Cutting
T178,Spotify,Cloud,India,Mid-size,Mar,2026,1929,34.9,Restructuring
T179,SAP,Gaming,Canada,Big Tech,Nov,2025,7591,21.3,Cost Cutting
T180,SAP,AI,Germany,Big Tech,May,2026,19800,10.8,AI Automation
T181,Intel,Cybersecurity,USA,Enterprise,Jan,2024,5773,15.1,Market Slowdown
T182,Adobe,AI,Singapore,Startup,Aug,2026,14283,20.9,Overhiring Correction
T183,Meta,E-Commerce,Canada,Mid-size,Sep,2024,6085,13.3,AI Automation
T184,SAP,AI,UK,Startup,Jan,2024,6867,32.1,Restructuring
T185,SAP,Cybersecurity,Canada,Mid-size,May,2025,2070,11.2,Restructuring
T186,Salesforce,Social Media,Canada,Startup,Feb,2025,14324,39.1,AI Automation
T187,Palantir,Social Media,Germany,Enterprise,Jun,2024,795,10.0,Overhiring Correction
T188,Apple,FinTech,UK,Big Tech,May,2026,2235,6.6,Restructuring
T189,Salesforce,Gaming,India,Startup,Sep,2025,12948,30.3,AI Automation
T190,Intel,FinTech,India,Mid-size,Apr,2024,2655,15.7,Cost Cutting
T191,Apple,AI,UK,Startup,Nov,2025,16061,14.0,Overhiring Correction
T192,Apple,Cybersecurity,Germany,Mid-size,Dec,2026,2307,1.4,Cost Cutting
T193,SAP,AI,Germany,Enterprise,Aug,2026,19193,16.8,Market Slowdown
T194,SAP,Cloud,Canada,Mid-size,Apr,2025,5671,14.4,Overhiring Correction
T195,SAP,E-Commerce,UK,Big Tech,Mar,2024,7318,13.3,Overhiring Correction
T196,Apple,Gaming,UK,Startup,Jun,2026,16206,24.0,AI Automation
T197,Anthropic,Gaming,USA,Enterprise,May,2025,1482,7.3,Overhiring Correction
T198,Apple,Gaming,Germany,Startup,Jun,2024,1461,5.8,Restructuring
T199,Meta,E-Commerce,Canada,Enterprise,Feb,2025,397,4.1,Cost Cutting
T200,Google,FinTech,USA,Enterprise,Jan,2025,2151,1.3,Restructuring
T201,Apple,Gaming,Singapore,Big Tech,Feb,2024,3809,10.7,Market Slowdown
T202,Uber,Gaming,India,Big Tech,Apr,2025,488,9.4,AI Automation
T203,Meta,Cloud,Germany,Big Tech,Aug,2026,1552,2.3,Overhiring Correction
T204,Google,Social Media,Canada,Mid-size,May,2025,1215,31.2,AI Automation
T205,Databricks,FinTech,India,Big Tech,Sep,2025,1145,6.8,AI Automation
T206,Anthropic,Cybersecurity,Canada,Startup,Jan,2026,2480,10.0,Restructuring
T207,Intel,FinTech,Singapore,Startup,Jun,2024,6554,4.6,AI Automation
T208,Stripe,Social Media,UK,Mid-size,Sep,2025,2019,2.5,Cost Cutting
T209,SAP,Social Media,Germany,Mid-size,Dec,2025,1751,8.1,AI Automation
T210,Adobe,Cloud,USA,Mid-size,May,2026,1522,4.9,Restructuring
T211,Palantir,E-Commerce,UK,Startup,May,2025,2105,29.0,AI Automation
T212,Salesforce,FinTech,USA,Enterprise,Dec,2025,5799,10.9,Restructuring
T213,Salesforce,Cloud,Germany,Big Tech,Feb,2026,183,9.5,Restructuring
T214,Amazon,E-Commerce,Canada,Mid-size,Jun,2024,12546,34.7,AI Automation
T215,Salesforce,Social Media,UK,Enterprise,Mar,2026,924,11.0,Restructuring
T216,Intel,E-Commerce,USA,Enterprise,May,2026,13707,31.7,AI Automation
T217,Amazon,Social Media,Singapore,Big Tech,Jan,2024,5241,7.7,Overhiring Correction
T218,SAP,AI,India,Startup,Jun,2025,1583,3.0,Overhiring Correction
T219,Meta,Cybersecurity,India,Big Tech,Aug,2024,506,3.1,Overhiring Correction
T220,Apple,Cybersecurity,UK,Big Tech,Apr,2024,2330,10.3,AI Automation
T221,Netflix,E-Commerce,Canada,Big Tech,May,2025,5997,25.5,Restructuring
T222,Uber,Cybersecurity,UK,Big Tech,Mar,2024,451,6.3,Restructuring
T223,Netflix,Social Media,Germany,Startup,Nov,2025,1112,8.6,AI Automation
T224,Palantir,Cybersecurity,UK,Enterprise,Jun,2026,2244,0.7,Cost Cutting
T225,Microsoft,Cloud,India,Mid-size,Jun,2026,2861,16.6,Overhiring Correction
T226,Intel,E-Commerce,Canada,Mid-size,Feb,2025,8162,27.4,Restructuring
T227,OpenAI,Cybersecurity,Germany,Big Tech,Mar,2025,4554,28.8,AI Automation
T228,SAP,E-Commerce,Singapore,Enterprise,Mar,2025,1177,4.5,Overhiring Correction
T229,Meta,Gaming,USA,Mid-size,Mar,2025,182,17.3,Cost Cutting
T230,Intel,Cybersecurity,UK,Startup,Nov,2026,4839,8.4,Market Slowdown
T231,Apple,Social Media,UK,Startup,Oct,2026,6119,15.9,Cost Cutting
T232,Netflix,Social Media,Canada,Enterprise,Jan,2024,5370,23.8,AI Automation
T233,Stripe,FinTech,Singapore,Mid-size,Oct,2026,6488,35.7,AI Automation
T234,OpenAI,Social Media,Canada,Enterprise,Aug,2024,15427,21.4,Restructuring
T235,Adobe,E-Commerce,USA,Startup,Jul,2025,1777,4.1,Restructuring
T236,Uber,FinTech,Canada,Mid-size,Dec,2025,3615,8.5,Restructuring
T237,Apple,Gaming,UK,Startup,Aug,2024,2954,4.9,Market Slowdown
T238,SAP,Cloud,India,Startup,Jul,2026,1308,4.6,Restructuring
T239,Airbnb,Gaming,India,Enterprise,Apr,2024,9912,21.3,Restructuring
T240,Anthropic,E-Commerce,Germany,Enterprise,Feb,2025,3553,17.3,Overhiring Correction
T241,SAP,Cloud,India,Enterprise,May,2025,92,5.3,Overhiring Correction
T242,OpenAI,FinTech,Canada,Startup,Mar,2025,192,0.2,Market Slowdown
T243,NVIDIA,FinTech,USA,Big Tech,Jun,2026,2472,4.9,Market Slowdown
T244,Amazon,E-Commerce,Canada,Big Tech,Oct,2026,9385,10.1,Overhiring Correction
T245,Microsoft,Cloud,USA,Big Tech,Sep,2025,1869,6.5,Cost Cutting
T246,Uber,Cybersecurity,Canada,Big Tech,Jan,2024,16240,8.2,Cost Cutting
T247,Salesforce,Gaming,Germany,Big Tech,Jun,2026,1234,6.2,Market Slowdown
T248,Netflix,E-Commerce,Canada,Enterprise,Sep,2026,4516,30.9,Overhiring Correction
T249,OpenAI,Social Media,Canada,Enterprise,Jun,2025,470,15.0,AI Automation
T250,Oracle,Cybersecurity,UK,Startup,May,2026,1922,27.0,Overhiring Correction
T251,Stripe,Cloud,Singapore,Startup,Mar,2026,19965,9.1,Overhiring Correction
T252,NVIDIA,Cloud,Singapore,Mid-size,Apr,2024,1937,8.4,Restructuring
T253,Salesforce,E-Commerce,India,Big Tech,Jul,2026,3850,8.7,Overhiring Correction
T254,OpenAI,Gaming,Singapore,Startup,Sep,2024,18642,8.2,Overhiring Correction
T255,Salesforce,Social Media,Germany,Big Tech,Aug,2026,6139,7.4,Market Slowdown
T256,Palantir,FinTech,Singapore,Enterprise,Apr,2024,14878,35.6,Market Slowdown
T257,Palantir,FinTech,India,Enterprise,Dec,2026,4601,8.7,Restructuring
T258,Salesforce,E-Commerce,UK,Enterprise,Oct,2026,189,7.8,Overhiring Correction
T259,NVIDIA,E-Commerce,UK,Mid-size,May,2026,2487,16.0,AI Automation
T260,Intel,E-Commerce,Singapore,Enterprise,Apr,2024,15062,27.3,Overhiring Correction
T261,Spotify,Cybersecurity,Singapore,Enterprise,Oct,2026,1969,4.2,Overhiring Correction
T262,Airbnb,Cloud,USA,Mid-size,Jan,2024,17575,17.6,Restructuring
T263,Salesforce,Social Media,Germany,Startup,Jan,2026,16735,10.6,Cost Cutting
T264,Oracle,Social Media,Germany,Big Tech,May,2025,8657,34.3,Market Slowdown
T265,Meta,Gaming,USA,Mid-size,Mar,2025,4103,36.5,Cost Cutting
T266,Meta,Gaming,Germany,Big Tech,Jan,2024,186,7.6,Market Slowdown
T267,Stripe,Cybersecurity,USA,Enterprise,Nov,2026,3358,3.4,Overhiring Correction
T268,OpenAI,Cloud,Canada,Big Tech,Feb,2025,3782,17.0,Cost Cutting
T269,SAP,Social Media,UK,Mid-size,May,2026,524,6.2,Cost Cutting
T270,Netflix,Cybersecurity,Singapore,Big Tech,Feb,2025,1899,16.7,AI Automation
T271,Netflix,Cloud,Germany,Enterprise,May,2025,1117,4.8,Cost Cutting
T272,SAP,Gaming,UK,Enterprise,May,2026,2796,15.3,Market Slowdown
T273,Airbnb,AI,Singapore,Startup,Mar,2025,3213,7.7,Overhiring Correction
T274,Adobe,Social Media,USA,Enterprise,Apr,2024,2068,5.0,Restructuring
T275,Apple,E-Commerce,Singapore,Enterprise,Sep,2026,3897,5.7,Cost Cutting
T276,Airbnb,Social Media,Canada,Startup,Sep,2026,2961,19.0,Market Slowdown
T277,Amazon,Cybersecurity,USA,Startup,Oct,2026,8678,24.0,Cost Cutting
T278,Netflix,FinTech,Canada,Big Tech,Dec,2026,104,6.6,Restructuring
T279,Amazon,Cybersecurity,Germany,Startup,Sep,2025,5652,15.0,Restructuring
T280,Stripe,AI,Canada,Big Tech,Dec,2024,9662,29.1,Restructuring
T281,Spotify,Gaming,USA,Mid-size,Jan,2025,1310,19.6,Market Slowdown
T282,Amazon,Cybersecurity,USA,Startup,May,2025,6178,10.5,Cost Cutting
T283,Apple,Gaming,Singapore,Big Tech,Aug,2025,2258,10.8,Restructuring
T284,Amazon,Social Media,Singapore,Mid-size,Feb,2024,14136,19.5,Overhiring Correction
T285,NVIDIA,Cybersecurity,India,Mid-size,May,2025,406,5.3,Overhiring Correction
T286,Oracle,Cybersecurity,Germany,Mid-size,Jun,2024,574,9.4,Market Slowdown
T287,Uber,Social Media,USA,Startup,Oct,2024,12404,25.0,Cost Cutting
T288,Uber,AI,USA,Startup,Apr,2026,4331,9.5,AI Automation
T289,NVIDIA,E-Commerce,India,Mid-size,Sep,2025,422,7.3,Cost Cutting
T290,Stripe,FinTech,Canada,Enterprise,Mar,2026,1764,9.0,Overhiring Correction
T291,Airbnb,E-Commerce,UK,Enterprise,Nov,2026,1216,4.0,Restructuring
T292,Palantir,E-Commerce,USA,Enterprise,Sep,2025,14380,17.8,Restructuring
T293,Oracle,Cloud,UK,Big Tech,Apr,2024,115,3.4,Market Slowdown
T294,Apple,Gaming,Germany,Startup,Jul,2026,18937,35.5,Overhiring Correction
T295,Apple,E-Commerce,India,Enterprise,Nov,2024,2119,9.0,Restructuring
T296,Intel,AI,Canada,Mid-size,Jul,2026,629,3.4,Overhiring Correction
T297,Databricks,AI,USA,Mid-size,Aug,2024,4092,33.8,Market Slowdown
T298,Adobe,AI,India,Mid-size,Dec,2025,10021,39.2,Cost Cutting
T299,Databricks,Social Media,India,Big Tech,May,2025,1878,7.4,Restructuring
T300,Palantir,Social Media,UK,Enterprise,Sep,2025,387,11.5,Restructuring
T301,Microsoft,Gaming,Singapore,Big Tech,Jun,2025,1007,1.7,Restructuring
T302,Meta,Cybersecurity,India,Mid-size,Sep,2026,11,1.5,Overhiring Correction
T303,Oracle,FinTech,India,Mid-size,Jul,2026,2450,2.0,Cost Cutting
T304,OpenAI,Cybersecurity,Singapore,Enterprise,Dec,2026,2652,5.4,Restructuring
T305,SAP,Cloud,Singapore,Enterprise,Dec,2026,1892,6.0,Restructuring
T306,Netflix,Cybersecurity,Singapore,Startup,Feb,2026,8697,26.6,AI Automation
T307,Google,E-Commerce,India,Mid-size,Jan,2024,1734,1.3,Overhiring Correction
T308,SAP,FinTech,USA,Big Tech,Jan,2024,13370,12.7,Overhiring Correction
T309,Palantir,E-Commerce,USA,Startup,Sep,2025,10462,23.4,AI Automation
T310,Anthropic,Gaming,Singapore,Big Tech,Feb,2026,1872,4.9,Cost Cutting
T311,Airbnb,Cloud,Canada,Enterprise,Jul,2024,6928,14.3,Market Slowdown
T312,NVIDIA,E-Commerce,Canada,Mid-size,May,2026,1923,32.7,AI Automation
T313,Meta,AI,Germany,Big Tech,Jan,2026,4937,12.1,AI Automation
T314,Netflix,AI,Germany,Big Tech,Oct,2024,1599,37.6,Overhiring Correction
T315,Meta,Cloud,India,Big Tech,Feb,2026,4733,14.9,Market Slowdown
T316,Palantir,Cybersecurity,Singapore,Startup,Jan,2024,506,6.6,Overhiring Correction
T317,Apple,Gaming,Singapore,Big Tech,Mar,2026,2010,3.4,Cost Cutting
T318,Stripe,Gaming,Germany,Enterprise,Dec,2026,2439,10.2,AI Automation
T319,Anthropic,Social Media,UK,Startup,Apr,2024,1301,4.8,Market Slowdown
